playerName,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,mlbamID,playerid,G_SP,G_RP,defaultPos
Shane Greene,DET,AL,66,0,3,3,0,0,0,0,0,66,64,0,32,8,24,67,572888,10756,0,66,Designated Hitter
Keynan Middleton,LAA,AL,16,0,1,0,0,0,0,0,0,15,13,0,6,2,6,15,641871,15264,0,16,RP
Drew VerHagen,DET,AL,41,0,2,2,0,0,0,0,0,47,45,0,23,6,17,44,572403,13424,1,40,RP
Jeffrey Springs,TEX,AL,18,0,2,2,0,0,0,0,0,39,38,0,18,6,16,44,605488,17677,2,16,RP
Emilio Pagan,TB,AL,55,0,2,2,0,0,0,0,0,50,45,0,23,8,17,55,641941,14771,0,55,RP
Brett Anderson,OAK,AL,17,11,4,3,0,0,0,0,0,59,67,0,29,6,15,38,474463,8223,17,0,SP
Sam Freeman,ATL,NL,63,0,2,2,0,0,0,0,0,40,36,0,17,4,22,43,518693,6832,0,63,RP
Yonny Chirinos,TB,AL,18,16,6,5,0,0,0,0,0,107,106,0,45,15,27,88,630023,16401,7,11,SP|RP
Max Fried,ATL,NL,14,7,4,5,0,0,0,0,0,69,61,0,29,7,34,74,608331,13743,5,9,Closer
Hunter Wood,TB,AL,31,0,2,2,0,0,0,0,0,42,37,0,17,6,16,44,621056,15091,8,21,RP
Ryan Merritt,CLE,,4,1,1,1,0,0,0,0,0,17,21,0,9,2,1,10,607320,13688,0,0,RP
Juan Minaya,CWS,AL,52,0,2,3,0,0,0,0,0,56,51,0,27,7,27,64,573668,10341,0,52,RP
Bryan Shaw,COL,NL,61,0,2,3,0,0,0,0,0,51,53,0,26,6,21,49,543766,8110,0,61,RP
Zach McAllister,TEX,AL,41,0,1,1,0,0,0,0,0,36,36,0,18,5,12,35,502083,2895,0,41,RP
Kevin Gausman,ATL,NL,11,30,11,10,0,0,0,0,0,176,176,0,80,23,52,156,592332,14107,10,0,SP|RP
Blake Wood,LAA,AL,13,0,1,1,0,0,0,0,0,23,22,0,10,2,10,23,502028,1345,0,13,RP
Chasen Shreve,STL,AL,40,0,2,2,0,0,0,0,0,39,34,0,17,5,18,46,592741,10855,0,40,RP
Rick Porcello,BOS,AL,33,32,14,10,0,0,0,0,0,190,190,0,90,28,46,175,519144,2717,33,0,SP
Dinelson Lamet,SD,,9,6,2,2,0,0,0,0,0,38,34,0,17,5,17,43,659275,17186,0,0,SP
Yusmeiro Petit,OAK,AL,74,0,4,3,0,0,0,0,0,74,70,0,33,11,17,66,433589,4020,0,74,RP
Dan Jennings,MIL,NL,72,0,1,1,0,0,0,0,0,15,15,0,7,1,6,11,543359,8073,1,71,RP
