playerName,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,mlbamID,playerid,G_SP,G_RP,defaultPos
Daniel Winkler,ATL,NL,16,0,2,2,0,0,0,0,0,45,42,0,20,6,18,47,595465,12237,0,16,RP
Dario Alvarez,CHC,AL,20,0,1,0,0,0,0,0,0,10,8,0,4,1,5,12,516714,14239,0,20,RP
Ryan Sherriff,STL,NL,13,0,1,1,0,0,0,0,0,20,20,0,9,2,8,17,595411,12249,0,13,
Shae Simmons,CHC,AL,9,0,1,0,0,0,0,0,0,10,9,0,4,1,5,10,623406,14200,0,9,RP
Cory Gearrin,SF,NL,68,0,2,2,0,0,0,0,0,45,42,0,19,5,19,42,518715,7947,0,68,RP
Edward Paredes,LAD,NL,10,0,1,1,0,0,0,0,0,25,22,0,10,3,10,27,487675,4168,0,10,
Zach McAllister,CLE,AL,50,0,2,2,0,0,0,0,0,40,36,0,18,5,15,42,502083,2895,0,50,RP
Pat Neshek,PHI,NL,28,0,3,3,0,0,0,0,0,65,60,0,29,10,17,69,450212,4682,0,28,RP
Anthony Bass,TEX,AL,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,542914,7982,0,2,RP
Cory Mazzoni,CHC,NL,6,0,1,0,0,0,0,0,0,10,9,0,4,1,4,10,543508,12537,0,6,RP
Steve Cishek,CHC,AL,23,0,3,3,0,0,0,0,0,65,61,0,28,8,26,63,518553,6483,0,23,RP
Jimmy Nelson,MIL,NL,29,16,6,6,0,0,0,0,0,94,92,0,44,12,33,93,519076,10547,29,0,SP
Alex Claudio,TEX,AL,70,0,3,3,0,0,0,0,0,65,69,0,28,6,20,48,592222,12890,1,69,RP
Steven Matz,NYM,NL,17,21,7,7,0,0,0,0,0,119,118,0,53,15,36,105,571927,13361,13,0,SP
Seth Lugo,NYM,NL,20,2,2,3,0,0,0,0,0,49,49,0,22,7,12,44,607625,12447,18,1,RP
Austin Adams,WSH,NL,6,0,1,0,0,0,0,0,0,10,8,0,4,1,6,12,613534,13801,0,6,
Adam Liberatore,LAD,NL,4,0,1,1,0,0,0,0,0,20,18,0,8,3,8,21,571893,10637,0,4,RP
Brandon Kintzler,WSH,AL,45,0,3,3,0,0,0,0,0,55,59,0,24,6,16,40,445213,9939,0,45,RP
Derek Law,SF,NL,41,0,2,2,0,0,0,0,0,35,33,0,15,4,13,31,571882,13133,0,41,RP
Peter Moylan,ATL,AL,79,0,2,2,0,0,0,0,0,40,40,0,18,4,15,34,493247,4891,0,79,RP
Jake Arrieta,PHI,NL,32,31,11,11,0,0,0,0,0,187,180,0,85,24,61,179,453562,4153,30,0,SP
Edgar Santana,PIT,NL,19,0,1,1,0,0,0,0,0,25,25,0,11,3,9,23,650828,17355,0,19,RP
Aaron Loup,TOR,AL,70,0,2,2,0,0,0,0,0,45,42,0,19,5,19,44,571901,10343,0,70,RP
Marc Rzepczynski,SEA,AL,64,0,2,2,0,0,0,0,0,40,38,0,17,4,20,37,519240,6612,0,64,RP
Yaisel Sierra,LAD,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,666888,sa909930,0,0,
Zac Rosscup,COL,NL,1,0,1,1,0,0,0,0,0,25,22,0,11,4,10,29,573127,9419,0,1,RP
Blake Cooper,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa549089,0,0,
Kris Medlen,KC,,10,0,0,0,0,0,0,0,0,10,10,0,4,1,3,9,450665,9417,0,0,SP
Colten Brewer,SD,,15,0,1,1,0,0,0,0,0,15,15,0,7,2,6,13,605155,sa597829,0,0,
Luis Garcia,PHI,NL,66,0,3,3,0,0,0,0,0,55,52,0,24,6,25,54,472610,6984,0,66,RP
Giovanny Gallegos,NYY,AL,16,0,1,1,0,0,0,0,0,25,22,0,11,4,9,28,606149,14986,0,16,RP
Johnny Cueto,SF,NL,25,29,11,10,0,0,0,0,0,179,177,0,78,22,51,150,456501,6893,25,0,SP
Blake Wood,LAA,NL,55,0,2,2,0,0,0,0,0,40,36,0,17,5,17,39,502028,1345,0,55,RP
Kyle Fischer,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa829490,0,0,
Blake Snell,TB,AL,24,29,10,10,0,0,0,0,0,166,145,0,70,20,76,173,605483,13543,24,0,SP
Miles Mikolas,STL,,21,21,8,7,0,0,0,0,0,120,121,0,56,18,26,111,571945,9803,0,0,SP
Brian Duensing,CHC,NL,68,0,2,2,0,0,0,0,0,35,33,0,15,4,13,33,488846,4064,0,68,SP
Diego Castillo,TB,,10,0,0,0,0,0,0,0,0,10,9,0,4,1,4,10,650895,sa822882,0,0,
Brad Wieck,SD,,10,0,0,0,0,0,0,0,0,10,8,0,4,1,5,11,623364,sa659424,0,0,
Jay Jackson,SD,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,543351,7432,0,0,RP
Clayton Richard,SD,NL,32,31,10,12,0,0,0,0,0,191,204,0,83,19,62,139,453385,3551,32,0,SP
Masahiro Tanaka,NYY,AL,30,29,12,9,0,0,0,0,0,176,172,0,78,28,40,168,547888,15764,30,0,SP
Cesar Valdez,TOR,AL,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,491624,9013,1,3,SP
Freddy Peralta,MIL,,10,0,0,0,0,0,0,0,0,10,9,0,4,1,5,12,642547,sa737343,0,0,
Michael Lorenzen,CIN,NL,73,0,3,3,0,0,0,0,0,55,52,0,24,7,21,53,547179,14843,0,70,SP
Erik Cordier,MIA,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,449170,4086,0,0,RP
Evan Reed,DET,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,519175,1349,0,0,RP
Seth Frankoff,SEA,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,571676,11346,0,1,
