playerName,team,league,G,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,mlbamID,playerid,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,defaultPos
Aledmys Diaz,TOR,NL,79,273,71,15,1,7,31,31,15,42,3,2,1,649557,15937,0,0,1,4,68,3,0,0,3,SS
Zack Granite,MIN,AL,40,257,66,7,3,2,21,23,28,28,2,9,2,643335,15343,0,0,0,0,0,8,24,2,32,
Jose Reyes,NYM,NL,145,386,100,13,3,7,34,39,31,63,1,14,3,408314,1736,0,0,28,36,80,1,1,0,2,3B
Ehire Adrianza,MIN,AL,70,195,50,7,1,2,22,20,19,33,3,6,2,501303,8418,0,4,9,9,29,17,0,0,17,2B
Jordy Mercer,PIT,NL,145,479,120,20,2,11,51,52,45,79,3,4,3,474568,6547,0,0,0,0,144,0,0,0,0,SS
Taylor Motter,SEA,AL,92,162,39,8,0,4,21,19,15,39,1,7,1,600301,12399,0,15,18,6,39,15,0,5,19,3B
Jose Peraza,CIN,NL,143,529,146,15,6,5,41,47,28,72,5,30,8,606299,13593,0,0,77,0,55,0,2,0,2,2B
Raul Mondesi,KC,AL,25,439,110,16,8,10,49,46,23,134,2,29,4,609275,13769,0,0,14,0,9,0,0,0,0,2B
Sandy Leon,BOS,AL,85,218,51,9,1,5,26,23,20,59,2,0,0,506702,5273,84,0,0,0,0,0,0,0,0,C
Martin Maldonado,LAA,AL,138,379,86,17,0,11,46,43,29,103,11,1,1,455117,6887,137,1,0,0,0,0,0,0,0,C
Billy Hamilton,CIN,NL,139,552,140,21,8,3,39,40,44,125,1,59,8,571740,10199,0,0,0,0,0,0,137,0,137,CF
Matt Wieters,WSH,NL,123,362,86,14,1,10,38,38,28,81,2,0,0,446308,4298,118,0,0,0,0,0,0,0,0,C
Ronald Torreyes,NYY,AL,108,301,84,10,2,1,27,24,12,36,2,3,1,591720,11400,0,0,54,26,36,0,0,1,1,3B
Alcides Escobar,KC,AL,162,496,125,26,5,5,45,40,16,78,4,10,3,444876,6310,0,0,0,0,162,0,0,0,0,SS
