playerName,teamLong,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,mlbamID,playerid,G_SP,G_RP,defaultPos
Enny Romero,Nationals,WSN,NL,52,0,2,2,0,0,0,0,0,35,31,0,14,3,15,37,544836,4001,0,52,RP
Justin Verlander,Tigers,DET,AL,34,32,14,10,0,0,0,0,0,208,186,0,84,26,58,213,434378,8700,34,0,SP
Matt Harvey,Mets,NYM,NL,17,24,9,8,0,0,0,0,0,141,137,0,59,16,35,130,518774,11713,17,0,SP
Joe Nathan,Giants,SFG,NL,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,150274,1122,0,3,RP
Brandon Maurer,Padres,SDP,NL,71,0,3,3,0,0,0,0,0,65,60,0,26,7,21,65,543506,4878,0,71,RP|SP
Daniel Coulombe,Athletics,OAK,AL,35,0,2,1,0,0,0,0,0,30,28,0,12,2,14,30,543056,13293,0,35,RP
Xavier Cedeno,Rays,TBD,AL,54,0,3,3,0,0,0,0,0,65,59,0,25,6,23,62,458584,36,0,54,RP
Samuel Tuivailala,Cardinals,STL,NL,12,0,1,1,0,0,0,0,0,15,13,0,6,1,7,17,592815,13485,0,12,RP
Sam Dyson,Rangers,TEX,AL,73,0,3,3,0,0,0,0,0,65,64,0,26,5,23,56,473879,11710,0,73,RP
Sergio Romo,Dodgers,LAD,NL,40,0,3,2,0,0,0,0,0,55,50,0,22,7,14,54,489265,9817,0,40,RP
Steve Cishek,Mariners,SEA,AL,62,0,2,2,0,0,0,0,0,40,36,0,16,4,14,40,518553,6483,0,62,RP
Marcos Mateo,Padres,SDP,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,456496,6869,0,0,RP
Fernando Rodney,Diamondbacks,ARI,NL,39,0,3,3,0,0,0,0,0,65,58,0,26,5,30,67,407845,494,0,39,RP
Evan Scribner,Mariners,SEA,AL,12,0,3,3,0,0,0,0,0,55,51,0,22,7,14,54,519267,7525,0,12,RP
Danny Salazar,Indians,CLE,AL,25,29,12,9,0,0,0,0,0,169,149,0,69,20,61,184,517593,5867,24,1,SP
Adam Liberatore,Dodgers,LAD,NL,58,0,1,1,0,0,0,0,0,25,22,0,10,3,9,26,571893,10637,0,58,RP
Jeff Samardzija,Giants,SFG,NL,34,31,11,11,0,0,0,0,0,192,188,0,80,20,49,164,502188,3254,32,0,SP|RP
Shawn Armstrong,Indians,CLE,AL,10,0,2,2,0,0,0,0,0,35,29,0,14,3,17,41,542888,12857,0,10,RP
John Leathersich,Mets,NYM,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,605333,12562,0,0,RP
Paco Rodriguez,Braves,ATL,NL,40,0,2,2,0,0,0,0,0,40,36,0,16,4,18,42,572089,13398,0,0,RP
Francelis Montas,Athletics,OAK,AL,25,0,1,1,0,0,0,0,0,25,23,0,10,3,10,26,593423,14309,0,0,RP
Brock Stewart,Dodgers,LAD,NL,7,3,2,2,0,0,0,0,0,33,31,0,14,4,9,32,592779,16727,5,2,SP
Shae Simmons,Mariners,SEA,AL,7,0,1,1,0,0,0,0,0,20,18,0,8,2,8,21,623406,14200,0,7,RP
Gio Gonzalez,Nationals,WSN,NL,32,29,11,9,0,0,0,0,0,165,160,0,69,16,58,153,461829,7448,32,0,SP
